alt,src,price,target,store,clothesType
"BLUSA TIRAS ENCARRUJADA, H&O TRYBU, BLANCO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h22/hef/11451704475678/16755489-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa
"BLUSA ML SMCRP UNICOLOR, H&O TRYBU, BLANCO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h77/h0d/11451710177310/16755493-0_product_300Wx450H,"$14,00",mujer,De Prati,blusa
"JEAN RECTO C PRETINA CRUZADA, H&O TRYBU, AZUL MEDIO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h57/h53/11455619727390/16755597-0_product_300Wx450H,"$31,99",mujer,De Prati,jean
"BLUSA SIS CUELLO EN V, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h98/h69/11456031621150/16740391-0_product_300Wx450H,"$15,00",mujer,De Prati,blusa
"CAMISERO MLG CON VUELOS, ISABELLA, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h56/h7e/11456046858270/16740425-0_product_300Wx450H,"$19,99",mujer,De Prati,camisero
"JEAN SKINNY, H&O, AZUL MEDIO, 98% ALGODÓN  2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hff/h68/11452016721950/16784463-0_product_300Wx450H,"$28,78",mujer,De Prati,jean
"JEAN SKINNY, H&O, AZUL CLARO, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/he0/h59/11451971108894/16784549-0_product_300Wx450H,"$31,99",mujer,De Prati,jean
"JEAN SKINNY, H&O, AZUL MEDIO, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf4/h66/11452058107934/16785822-0_product_300Wx450H,"$31,99",mujer,De Prati,jean
"BLUSA ML MESH EN MANGA, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h9b/h8e/11451965603870/16783414-0_product_300Wx450H,"$18,00",mujer,De Prati,blusa
"BLUSA SISA C APLIQUES UNICOLOR, H&O TRYBU, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/hfc/h4c/11451824308254/16766963-0_product_300Wx450H,"$15,00",mujer,De Prati,blusa
"CAMISERO ML PRINT, H&O TRYBU, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h7f/ha4/11451721777182/16755515-0_product_300Wx450H,"$29,99",mujer,De Prati,camisero
"CAMISETA SMCRP ML C APERTURA, H&O TRYBU, BLANCO, 64% POLIESTER 34% ALGODÓN 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc6/hc1/11451698610206/16755475-0_product_300Wx450H,"$27,99",mujer,De Prati,camiseta
"SHORT PAPER BAG UNICOLOR, H&O TRYBU, NEGRO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h04/hb6/11493859622942/16755564-0_product_300Wx450H,"$23,99",mujer,De Prati,short
"CARDIGAN UNICOLOR, H&O, NEGRO, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/h0b/hb4/11451627929630/16746181-0_product_300Wx450H,"$29,99",mujer,De Prati,cardigan
"BLUSA MLG CUELLO CUADRADO C AJUSTE NIDO, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h26/h46/11451553546270/16740549-0_product_300Wx450H,"$15,00",mujer,De Prati,blusa
"BLUSA MLG CRUZADA CUELLO EN V, ISABELLA, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hb1/h91/11451501871134/16740362-0_product_300Wx450H,"$35,99",mujer,De Prati,blusa
"BLUSA MLG CUELLO EN V AJUSTE NIDO, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h2f/h44/11451516518430/16740410-0_product_300Wx450H,"$18,00",mujer,De Prati,blusa
"BLUSA ML PRINT, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he1/hc4/11450889666590/16696091-0_product_300Wx450H,"$14,00",mujer,De Prati,blusa
"CAMISETA CORRUGADA ML UNICOLOR, H&O TRYBU, VERDE, 95% POLYESTER 5% SPANDEX",https://images.deprati.com.ec/sys-master/images/h2a/h02/11446344941598/16767886-0_product_300Wx450H,"$29,99",mujer,De Prati,camiseta
"JEAN JOGGER, H&O, AZUL COMBINADO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h4d/h0c/11447080452126/16749235-0_product_300Wx450H,"$31,99",mujer,De Prati,jean
"CAMISERO ML PRINT, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he6/h00/11447048306718/16738555-0_product_300Wx450H,"$29,99",mujer,De Prati,camisero
"FALDA LARGA PRINT CON ABERTURA, H&O, BEIGE COMBINADO, 96% POLIESTER 4% SPANDEX",https://images.deprati.com.ec/sys-master/images/h97/hb7/11447053156382/16738559-0_product_300Wx450H,"$29,99",mujer,De Prati,falda
"CARDIGAN UNICOLOR, H&O, CRUDO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h09/hf1/11447004037150/16740787-0_product_300Wx450H,"$23,99",mujer,De Prati,cardigan
"BLUSA ASIMETRICA MLG CON LAZO, ISABELLA, PALO ROSA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h53/hbf/11447024517150/16740479-0_product_300Wx450H,"$18,00",mujer,De Prati,blusa
"CAMISETA MC UNICOLOR, H&O, GRIS, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h26/h7e/11447034150942/16740645-0_product_300Wx450H,"$8,00",mujer,De Prati,camiseta
"CAMISETA SISA CON BOTONES, H&O, CRUDO COMBINADO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hd3/ha6/11446998925342/16740729-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta
"BODY, H&O, NEGRO, 96% POLIESTER 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/h12/h18/11447043162142/16738495-0_product_300Wx450H,"$19,99",mujer,De Prati,body
"BLUSA ML CON DETALLE EN DELANTERO, EXPRESSIONS, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h72/h36/11446895607838/16713909-0_product_300Wx450H,"$29,99",mujer,De Prati,blusa
"BLUSA MC CUELLO EN V, EXPRESSIONS, ROJO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h2a/h2d/11446890889246/16713714-0_product_300Wx450H,"$27,99",mujer,De Prati,blusa
"CAMISETA TIRAS SMCRP UNICOLOR, H&O TRYBU, HABANO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h9f/h98/11446791667742/16774601-0_product_300Wx450H,"$13,99",mujer,De Prati,camiseta
"SHORT ANIMAL PRINT, H&O TRYBU, NEGRO COMBINADO, 90%POLIESTER 10%ELASTANO",https://images.deprati.com.ec/sys-master/images/h64/hf2/11442618990622/16767215-0_product_300Wx450H,"$19,20",mujer,De Prati,short
"PANTALON C APLIQUES SLIM UNICOLOR, H&O TRYBU, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h10/ha4/11441853988894/16766973-0_product_300Wx450H,"$18,00",mujer,De Prati,pantalon
"CAMISETA ML SMCRP UNICOLOR, H&O TRYBU, NEGRO, 100% algodón",https://images.deprati.com.ec/sys-master/images/he5/h47/11441945247774/16767967-0_product_300Wx450H,"$13,99",mujer,De Prati,camiseta
"CAMISETA SISA REG UNICOLOR, H&O TRYBU, BLANCO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h16/h38/11446785474590/16767102-0_product_300Wx450H,"$13,99",mujer,De Prati,camiseta
"PANTALON JOGGER UNICOLOR, H&O TRYBU, NEGRO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hed/h8a/11442567348254/16755710-0_product_300Wx450H,"$28,78",mujer,De Prati,joggers
"CAMISETA CORSET TEXTURA, H&O TRYBU, BLANCO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/he4/ha1/11442565382174/16755670-0_product_300Wx450H,"$23,99",mujer,De Prati,camiseta
"VESTIDO TIRAS C ENCARRUJADO, H&O TRYBU, NEGRO, 90%POLIESTER 10%ELASTANO",https://images.deprati.com.ec/sys-master/images/h2d/h8f/11442517671966/16754608-0_product_300Wx450H,"$27,99",mujer,De Prati,vestido
"BLUSA SMCRP MESH, H&O TRYBU, BLANCO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h10/h3c/11441637097502/16755689-0_product_300Wx450H,"$27,99",mujer,De Prati,blusa
"SHORT ECO C APLIQUES PROCESO DE LAVADO ECOAMIGABLE, H&O TRYBU, AZUL MEDIO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h03/h61/11441556783134/16755387-0_product_300Wx450H,"$23,99",mujer,De Prati,short
"JEAN RECTO UNICOLOR, H&O TRYBU, LILA, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc5/h18/11441521950750/16754476-0_product_300Wx450H,"$31,99",mujer,De Prati,jean
"SHORT UNICOLOR C LAZO, H&O TRYBU, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h04/h87/11441643683870/16755770-0_product_300Wx450H,"$15,00",mujer,De Prati,short
"BLUSA M34 CON RUCHE FRONTAL, H&O, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h20/h91/11430339477534/16745766-0_product_300Wx450H,"$27,99",mujer,De Prati,blusa
"ENTERIZO TIRAS CORTO, H&O, NEGRO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hcd/hb5/11430315458590/16740736-0_product_300Wx450H,"$29,99",mujer,De Prati,enterizo
"ENTERIZO HALTER LARGO, H&O, AZUL COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h64/h48/11430316572702/16740821-0_product_300Wx450H,"$39,98",mujer,De Prati,enterizo
"BLUSA CORSET EN PUNTA, H&O TRYBU, NEGRO, 93% POLIESTER 7% ELASTANO",https://images.deprati.com.ec/sys-master/images/hef/h96/11442507382814/16723850-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa
"CAMISERO ML CON PRINTS, EXPRESSIONS, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/ha9/heb/11440854499358/16712470-0_product_300Wx450H,"$35,99",mujer,De Prati,camisero
"CAMISETA CORSET TIRAS UNICOLOR, H&O TRYBU, DORADO, 96% POLIESTER 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/hde/hd0/11441529782302/16754506-0_product_300Wx450H,"$10,00",mujer,De Prati,camiseta
"CAMISETA MC ESTAMPADA, H&O TRYBU, LILA, 100% algodón",https://images.deprati.com.ec/sys-master/images/h55/h2d/11432095842334/16755471-0_product_300Wx450H,"$13,99",mujer,De Prati,camiseta
"CAMISETA MC ESTAMPADA, H&O TRYBU, CRUDO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h6b/h0d/11432134836254/16775883-0_product_300Wx450H,"$13,99",mujer,De Prati,camiseta
"VESTIDO TIRAS PRINT, H&O, NEGRO COMBINADO, 96% POLIESTER 4% SPANDEX",https://images.deprati.com.ec/sys-master/images/h9d/h2f/11430309888030/16738540-0_product_300Wx450H,"$35,99",mujer,De Prati,vestido
"FALDA CORTA UNICOLOR, H&O, LILA, 100% algodón",https://images.deprati.com.ec/sys-master/images/h12/ha7/11430360940574/16749231-0_product_300Wx450H,"$35,99",mujer,De Prati,falda
"SET BLUSA  Y SWEATER CROPPED, H&O, NEGRO COMBINADO, 72% POLIESTER 19% ALGODON 6%ELASTANO",https://images.deprati.com.ec/sys-master/images/hde/h02/11412261306398/16745704-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa
"BLUSA TIRAS CON HERRAJES Y RUCHES LATERALES, H&O, LILA, 87% POLIESTER 13%ELASTANO",https://images.deprati.com.ec/sys-master/images/haa/hd7/11412255277086/16745698-0_product_300Wx450H,"$10,00",mujer,De Prati,blusa
"BLUSA TIRAS UNICOLOR DETALLE EN ESPALDA, H&O, LILA, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h28/hf8/11412187414558/16738261-0_product_300Wx450H,"$12,00",mujer,De Prati,blusa
"CAMISETA UNICOLOR CON CHOKER, H&O, MORADO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hb5/h4f/11412215955486/16740649-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta
"CAMISETA HALTER PRINT, H&O, NEGRO COMBINADO, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/h62/h06/11430304153630/16738489-0_product_300Wx450H,"$8,00",mujer,De Prati,camiseta
"CAMISETA HALTER PRINT, H&O, BEIGE COMBINADO, 96% POLIESTER 4% SPANDEX",https://images.deprati.com.ec/sys-master/images/hb7/h60/11412202815518/16738513-0_product_300Wx450H,"$19,99",mujer,De Prati,camiseta
"CAMISETA SISA CON BOTONES, H&O, LILA, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h74/h91/11412194623518/16738496-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta
"BLUSA ASIMETRICA CON AMARRE, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h46/h08/11372560154654/16740420-0_product_300Wx450H,"$18,00",mujer,De Prati,blusa
"BLAZER MS CON BOTONES, EXPRESSIONS, PALO ROSA, 79% POLIESTER 17% VISCOSA 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/h3b/h9e/11403747196958/16770888-0_product_300Wx450H,"$49,99",mujer,De Prati,blazer
"BLAZER ABIERTO SIN SOLAPA, EXPRESSIONS, NEGRO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf2/hbb/11408479322142/16789417-0_product_300Wx450H,"$59,99",mujer,De Prati,blazer
"CARDIGAN UNICOLOR C BOTONES, H&O, LILA, 65% poliéster 35% viscosa",https://images.deprati.com.ec/sys-master/images/hd7/h99/11407754297374/16696005-0_product_300Wx450H,"$29,99",mujer,De Prati,cardigan
"CAMISETA SMCRP ESTAMPADA, H&O TRYBU, LILA, 100% algodón",https://images.deprati.com.ec/sys-master/images/hb9/hbd/11401542729758/16702904-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta
"BLUSA OFF SHOULDERS, H&O, ARENA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h93/he4/11410247778334/16745936-0_product_300Wx450H,"$15,00",mujer,De Prati,blusa
"BLUSA ML PRINT, H&O, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hc2/h9d/11410233589790/16745892-0_product_300Wx450H,"$18,00",mujer,De Prati,blusa
"BLUSA TIRAS PRINT, H&O, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hb0/h8b/11410243780638/16745932-0_product_300Wx450H,"$12,00",mujer,De Prati,blusa
"SHORT CUERINA C HEBILLA, H&O, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hf2/h13/11408134176798/16746008-0_product_300Wx450H,"$23,99",mujer,De Prati,short
"BLUSA MS CON CUELLO ALTO, EXPRESSIONS, GRIS, 100% rayon",https://images.deprati.com.ec/sys-master/images/hd5/h0a/11409949687838/16728154-0_product_300Wx450H,"$29,99",mujer,De Prati,blusa
"SHORT RECTO CON PINZAS, ISABELLA, LILA, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/ha2/hea/11409886871582/16701950-0_product_300Wx450H,"$16,50",mujer,De Prati,short
"BLAZER CON 2 BOTONES FORRADOS, ISABELLA, LILA, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/he9/haa/11409879793694/16701944-0_product_300Wx450H,"$25,00",mujer,De Prati,blazer
"VESTIDO TIRAS SATINADO, H&O, TURQUESA COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h06/h9f/11410206228510/16718980-0_product_300Wx450H,"$15,00",mujer,De Prati,vestido
"BLUSA OFF SHOULDERS, H&O, LILA COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he0/h38/11401213870110/16745958-0_product_300Wx450H,"$15,00",mujer,De Prati,blusa
"BLUSA TIRAS UNICOLOR, H&O, MORADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h97/ha9/11404514459678/16742689-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa
"CAMISETA TIRAS UNICOLOR, H&O, TURQUESA, 92% POLIESTER 8% ELASTANO",https://images.deprati.com.ec/sys-master/images/h3c/h73/11403483512862/16719185-0_product_300Wx450H,"$19,99",mujer,De Prati,camiseta
"BLUSA SISA CON APLIQUE, H&O, PALO ROSA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h10/h58/11403362467870/16695836-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa
"CORSET PRINT, H&O, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h1f/he8/11403335008286/16695591-0_product_300Wx450H,"$14,00",mujer,De Prati,corset
"BLUSA ML UNICOLOR, H&O, LILA, 94% POLIESTER 6% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc2/h1f/11404707790878/16696046-0_product_300Wx450H,"$14,00",mujer,De Prati,blusa
"SHORT DENIM PATCHWORK, H&O TRYBU, AZUL MEDIO, 100% algodón",https://images.deprati.com.ec/sys-master/images/hdf/hac/11401547710494/16703027-0_product_300Wx450H,"$23,99",mujer,De Prati,short
"BLUSA MC CUELLO REDONDO CON PINZAS, ISABELLA, MAGENTA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h76/h7d/11401516810270/16701566-0_product_300Wx450H,"$29,99",mujer,De Prati,blusa
"BODY ML UNICOLOR, H&O, NEGRO, 96% POLIESTER 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/h42/h99/11385668763678/16695817-0_product_300Wx450H,"$15,00",mujer,De Prati,body
"CARDIGAN UNICOLOR C BOTONES, H&O, LILA, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/he5/hb3/11397254873118/16731079-0_product_300Wx450H,"$15,00",mujer,De Prati,cardigan
"CAMISETA CUELLO ALTO ASIMETRICA, H&O, NEGRO, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/h37/hd3/11395945725982/16730895-0_product_300Wx450H,"$19,99",mujer,De Prati,camiseta
"BLAZER ML SIN SOLAPA, EXPRESSIONS, HABANO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/h23/h8c/11383288561694/16712341-0_product_300Wx450H,"$59,99",mujer,De Prati,blazer
"PANTALON WIDE LEG CON ELASTICO, ISABELLA, CRUDO, 100% Poliéster, Size 10",https://images.deprati.com.ec/sys-master/images/h34/h87/11325045145630/16701963-0_product_300Wx450H,"$19,99",mujer,De Prati,pantalon
"FALDA MIDI ESTAMPADA, EXPRESSIONS, NEGRO COMBINADO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf7/h4a/11383294591006/16712359-0_product_300Wx450H,"$18,00",mujer,De Prati,falda
"BLUSA MS CUELLO REDONDO MID , EXPRESSIONS, VERDE AGUA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/ha9/h46/11383367991326/16712945-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa
"PANTALON LARGO SLIM, EXPRESSIONS, MAGENTA, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/h09/h92/11373834174494/16724711-0_product_300Wx450H,"$36,79",mujer,De Prati,pantalon
"FALDA EN A CON AMARRE, EXPRESSIONS, FUCSIA, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h1f/h94/11373831815198/16724709-0_product_300Wx450H,"$35,99",mujer,De Prati,falda
"VESTIDO MLG CON AMARRE, ISABELLA, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hbd/h30/11373918519326/16740487-0_product_300Wx450H,"$19,99",mujer,De Prati,vestido
"LEGGING CON CIERRE, H&O, NEGRO, 60% POLIAMIDA 37% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/hb3/hb7/11376148643870/16695955-0_product_300Wx450H,"$26,39",mujer,De Prati,legging
"VESTIDO TIRAS TEXTURA, H&O, NEGRO, 65% POLIESTER 27% NYLON 8% ELASTANO",https://images.deprati.com.ec/sys-master/images/h18/haf/11373606436894/16722366-0_product_300Wx450H,"$15,00",mujer,De Prati,vestido
"CAMISETA ML UNICOLOR, H&O, ROJO, 71% POLIESTER 26% ALGODÓN    3% ELASTANO",https://images.deprati.com.ec/sys-master/images/hfd/ha7/11368993849374/16695789-0_product_300Wx450H,"$10,00",mujer,De Prati,camiseta
"BLUSA MC CUELLO REDONDO, EXPRESSIONS, CRUDO COMBINADO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc4/h14/11383282663454/16712323-0_product_300Wx450H,"$15,00",mujer,De Prati,blusa
"CAMISETA MC ESTAMPADO, H&O TRYBU, BLANCO, 100% algodón",https://images.deprati.com.ec/sys-master/images/ha7/h20/11376277487646/16702897-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta
"SHORT C ROTOS, H&O TRYBU, AZUL CLARO, 100% algodón, Size 5",https://images.deprati.com.ec/sys-master/images/hef/hb0/11322856275998/16703041-0_product_300Wx450H,"$23,99",mujer,De Prati,short
"PANTALON SKINNY LARGO CON UN BOTON, EXPRESSIONS, ROJO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/h31/h3a/11383299571742/16712370-0_product_300Wx450H,"$36,79",mujer,De Prati,pantalon
"PANTALON WIDE LEG LARGO, EXPRESSIONS, NEGRO, 97% POLIESTER 3% ELASTANO, Size S",https://images.deprati.com.ec/sys-master/images/h33/hb7/11323856781342/16712431-0_product_300Wx450H,"$31,99",mujer,De Prati,pantalon
"ENTERIZO TIRAS C LAZO UNICOLOR, H&O TRYBU, NEGRO, 100% algodón",https://images.deprati.com.ec/sys-master/images/hdd/h31/11376265199646/16702864-0_product_300Wx450H,"$29,99",mujer,De Prati,enterizo
"CAMISERO ML PRINT, H&O TRYBU, LILA COMBINADO, 100% Poliéster, Size S",https://images.deprati.com.ec/sys-master/images/h9c/h72/11322812530718/16702839-0_product_300Wx450H,"$18,00",mujer,De Prati,camisero
"CAMISETA MC ESTAMPADA, H&O TRYBU, LILA, 100% algodón, Size S",https://images.deprati.com.ec/sys-master/images/h90/he4/11322850705438/16703014-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta
"PANTALON RECTO CON CADENA, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h31/h25/11372439502878/16701691-0_product_300Wx450H,"$25,00",mujer,De Prati,pantalon
"VESTIDO ML CUELLO EN V, EXPRESSIONS, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h9f/h68/11372896518174/16712438-0_product_300Wx450H,"$69,99",mujer,De Prati,vestido
"BLUSA ML CUELLO EN V, EXPRESSIONS, NEGRO COMBINADO, 100% Poliéster, Size L",https://images.deprati.com.ec/sys-master/images/hf7/h10/11323866513438/16712493-0_product_300Wx450H,"$35,99",mujer,De Prati,blusa
"CAMISERO ML CON CORBATIN, EXPRESSIONS, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h53/hec/11372903923742/16712456-0_product_300Wx450H,"$18,00",mujer,De Prati,camisero
"CAMISETA ML PRINT ONDAS, H&O TRYBU, LILA COMBINADO, 90% Poliester 10% Elastano, Size S",https://images.deprati.com.ec/sys-master/images/h54/h7d/11322817380382/16702872-0_product_300Wx450H,"$12,00",mujer,De Prati,camiseta
"CAMISETA SMCRP ESTAMPADA, H&O TRYBU, NEGRO, 100% algodón, Size L",https://images.deprati.com.ec/sys-master/images/hb0/h96/11322605797406/16703051-0_product_300Wx450H,"$19,99",mujer,De Prati,camiseta
"BLUSA ML PRINT, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h1d/h06/11403329339422/16695580-0_product_300Wx450H,"$27,99",mujer,De Prati,blusa
"VESTIDO M34 CUELLO CUADRADO, EXPRESSIONS, CRUDO, 95% POLIESTER 5% ELASTANO, Size L",https://images.deprati.com.ec/sys-master/images/hcf/h7f/11321440436254/16712391-0_product_300Wx450H,"$59,99",mujer,De Prati,vestido
"BLUSA OPEN SHOULDERS UNICOLOR, H&O, AZUL, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h27/ha2/11403402477598/16696205-0_product_300Wx450H,"$14,00",mujer,De Prati,blusa
"FALDA SHORT, H&O, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h3e/hc5/11403355422750/16695824-0_product_300Wx450H,"$23,99",mujer,De Prati,short
"CHAQUETA DENIM C DESGASTE, H&O TRYBU, AZUL MEDIO, 98% ALGODÓN  2% ELASTANO, Size L",https://images.deprati.com.ec/sys-master/images/he5/h8c/11325750673438/16703024-0_product_300Wx450H,"$45,99",mujer,De Prati,chaqueta
