alt,src,price,target,store,clothesType,clothesColor
"BODY, H&O, NEGRO, 96% POLIESTER 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/h12/h18/11447043162142/16738495-0_product_300Wx450H,"$19,99",mujer,De Prati,body,negro
"BLUSA ML CON DETALLE EN DELANTERO, EXPRESSIONS, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h72/h36/11446895607838/16713909-0_product_300Wx450H,"$29,99",mujer,De Prati,blusa,negro
"BLUSA MC CUELLO EN V, EXPRESSIONS, ROJO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h2a/h2d/11446890889246/16713714-0_product_300Wx450H,"$27,99",mujer,De Prati,blusa,rojo
"CAMISETA TIRAS SMCRP UNICOLOR, H&O TRYBU, HABANO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h9f/h98/11446791667742/16774601-0_product_300Wx450H,"$13,99",mujer,De Prati,camiseta,abano
"SHORT ANIMAL PRINT, H&O TRYBU, NEGRO COMBINADO, 90%POLIESTER 10%ELASTANO",https://images.deprati.com.ec/sys-master/images/h64/hf2/11442618990622/16767215-0_product_300Wx450H,"$19,20",mujer,De Prati,short,negro
"PANTALON C APLIQUES SLIM UNICOLOR, H&O TRYBU, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h10/ha4/11441853988894/16766973-0_product_300Wx450H,"$18,00",mujer,De Prati,pantalon,negro
"CAMISETA ML SMCRP UNICOLOR, H&O TRYBU, NEGRO, 100% algodón",https://images.deprati.com.ec/sys-master/images/he5/h47/11441945247774/16767967-0_product_300Wx450H,"$13,99",mujer,De Prati,camiseta,negro
"CAMISETA SISA REG UNICOLOR, H&O TRYBU, BLANCO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h16/h38/11446785474590/16767102-0_product_300Wx450H,"$13,99",mujer,De Prati,camiseta,blanco
"PANTALON JOGGER UNICOLOR, H&O TRYBU, NEGRO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hed/h8a/11442567348254/16755710-0_product_300Wx450H,"$28,78",mujer,De Prati,joggers,negro
"CAMISETA CORSET TEXTURA, H&O TRYBU, BLANCO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/he4/ha1/11442565382174/16755670-0_product_300Wx450H,"$23,99",mujer,De Prati,camiseta,blanco
"VESTIDO TIRAS C ENCARRUJADO, H&O TRYBU, NEGRO, 90%POLIESTER 10%ELASTANO",https://images.deprati.com.ec/sys-master/images/h2d/h8f/11442517671966/16754608-0_product_300Wx450H,"$27,99",mujer,De Prati,vestido,negro
"BLUSA SMCRP MESH, H&O TRYBU, BLANCO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h10/h3c/11441637097502/16755689-0_product_300Wx450H,"$27,99",mujer,De Prati,blusa,blanco
"SHORT ECO C APLIQUES PROCESO DE LAVADO ECOAMIGABLE, H&O TRYBU, AZUL MEDIO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h03/h61/11441556783134/16755387-0_product_300Wx450H,"$23,99",mujer,De Prati,short,azul medio
"JEAN RECTO UNICOLOR, H&O TRYBU, LILA, 98% ALGODON 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc5/h18/11441521950750/16754476-0_product_300Wx450H,"$31,99",mujer,De Prati,jean,lila
"SHORT UNICOLOR C LAZO, H&O TRYBU, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h04/h87/11441643683870/16755770-0_product_300Wx450H,"$15,00",mujer,De Prati,short,crudo
