alt,src,price
"ENTERIZO HALTER LARGO, H&O, AZUL COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hdb/hf7/11430319620126/16740823-0_product_300Wx450H,"$39,98"
"BLUSA CORSET EN PUNTA, H&O TRYBU, NEGRO, 93% POLIESTER 7% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc8/h2f/11442505711646/16723848-0_product_300Wx450H,"$23,99"
"VESTIDO CAMISERO MLG CON AMARRE, ISABELLA, ROJO COMBINADO, 100% rayon",https://images.deprati.com.ec/sys-master/images/h50/hc4/11441100947486/16740506-0_product_300Wx450H,"$39,98"
"CAMISERO ML CON PRINTS, EXPRESSIONS, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/ha9/heb/11440854499358/16712470-0_product_300Wx450H,"$35,99"
"CAMISETA CORSET TIRAS UNICOLOR, H&O TRYBU, DORADO, 96% POLIESTER 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/h50/h07/11441526997022/16754503-0_product_300Wx450H,"$19,99"
"CAMISETA MC ESTAMPADA, H&O TRYBU, LILA, 100% algodón",https://images.deprati.com.ec/sys-master/images/h55/h2d/11432095842334/16755471-0_product_300Wx450H,"$13,99"
"CAMISETA MC ESTAMPADA, H&O TRYBU, CRUDO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h6b/h0d/11432134836254/16775883-0_product_300Wx450H,"$13,99"
"BLAZER SEMICROP UNICOLOR, H&O, NEGRO, 91%VISCOSA 9%ELASTANO",https://images.deprati.com.ec/sys-master/images/he2/h3b/11430329516062/16743198-0_product_300Wx450H,"$49,99"
"VESTIDO TIRAS PRINT, H&O, NEGRO COMBINADO, 96% POLIESTER 4% SPANDEX",https://images.deprati.com.ec/sys-master/images/h9d/h2f/11430309888030/16738540-0_product_300Wx450H,"$35,99"
"FALDA SATIN PLISADA, H&O TRYBU, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/haf/hd0/11383103422494/16702924-0_product_300Wx450H,"$27,99"
"PANTALON RECTO C CINTURON, H&O TRYBU, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h2a/h39/11416279416862/16754616-0_product_300Wx450H,"$32,98"
"FALDA CORTA UNICOLOR, H&O, LILA, 100% algodón",https://images.deprati.com.ec/sys-master/images/h12/ha7/11430360940574/16749231-0_product_300Wx450H,"$35,99"
"SET BLUSA  Y SWEATER CROPPED, H&O, NEGRO COMBINADO, 72% POLIESTER 19% ALGODON 6%ELASTANO",https://images.deprati.com.ec/sys-master/images/hde/h02/11412261306398/16745704-0_product_300Wx450H,"$23,99"
"VESTIDO TIRAS PRINT, H&O, LILA COMBINADO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hce/h19/11447069835294/16745988-0_product_300Wx450H,"$25,98"
"BLUSA TIRAS CON HERRAJES Y RUCHES LATERALES, H&O, LILA, 87% POLIESTER 13%ELASTANO",https://images.deprati.com.ec/sys-master/images/hf6/h96/11412259995678/16745702-0_product_300Wx450H,"$19,99"
"BLUSA TIRAS UNICOLOR DETALLE EN ESPALDA, H&O, LILA, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h28/hf8/11412187414558/16738261-0_product_300Wx450H,"$23,99"
"CAMISETA UNICOLOR CON CHOKER, H&O, MORADO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hb5/h4f/11412215955486/16740649-0_product_300Wx450H,"$15,99"
"CAMISETA HALTER PRINT, H&O, NEGRO COMBINADO, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/h62/h06/11430304153630/16738489-0_product_300Wx450H,"$15,99"
"CAMISETA HALTER PRINT, H&O, BEIGE COMBINADO, 96% POLIESTER 4% SPANDEX",https://images.deprati.com.ec/sys-master/images/hb7/h60/11412202815518/16738513-0_product_300Wx450H,"$19,99"
"CAMISETA SISA CON BOTONES, H&O, LILA, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h74/h91/11412194623518/16738496-0_product_300Wx450H,"$15,99"
"BLUSA ASIMETRICA CON AMARRE, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h46/h08/11372560154654/16740420-0_product_300Wx450H,"$35,99"
"BLAZER MS CON BOTONES, EXPRESSIONS, PALO ROSA, 79% POLIESTER 17% VISCOSA 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/h3b/h9e/11403747196958/16770888-0_product_300Wx450H,"$49,99"
"BLAZER ABIERTO SIN SOLAPA, EXPRESSIONS, NEGRO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf2/hbb/11408479322142/16789417-0_product_300Wx450H,"$59,99"
"BLUSA MS CON CUELLO ALTO, EXPRESSIONS, CRUDO, 100% rayon",https://images.deprati.com.ec/sys-master/images/h0d/hd9/11410093408286/16783474-0_product_300Wx450H,"$29,99"
"BLUSA MC CUELLO REDONDO, EXPRESSIONS, BLANCO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h8a/he3/11408365322270/16724672-0_product_300Wx450H,"$35,99"
"BLUSA M34 CUELLO REDONDO VUELOS EN MANGAS, EXPRESSIONS, CRUDO COMBINADO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/h0e/he7/11408373350430/16724691-0_product_300Wx450H,"$35,99"
"BLUSA MS CUELLO REDONDO CON BRILLOS, EXPRESSIONS, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h1d/hc6/11409853710366/16712290-0_product_300Wx450H,"$35,99"
"CARDIGAN UNICOLOR C BOTONES, H&O, LILA, 65% poliéster 35% viscosa",https://images.deprati.com.ec/sys-master/images/hd7/h99/11407754297374/16696005-0_product_300Wx450H,"$29,99"
"SHORT DENIM PATCHWORK, H&O TRYBU, AZUL MEDIO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h58/h49/11401548562462/16703028-0_product_300Wx450H,"$29,99"
"CAMISETA SMCRP ESTAMPADA, H&O TRYBU, LILA, 100% algodón",https://images.deprati.com.ec/sys-master/images/hb9/hbd/11401542729758/16702904-0_product_300Wx450H,"$15,99"
"BLUSA OFF SHOULDERS, H&O, ARENA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h93/he4/11410247778334/16745936-0_product_300Wx450H,"$29,99"
"BLUSA ML PRINT, H&O, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hc2/h9d/11410233589790/16745892-0_product_300Wx450H,"$35,99"
"BLUSA TIRAS PRINT, H&O, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hb0/h8b/11410243780638/16745932-0_product_300Wx450H,"$23,99"
"PANTALON PALAZZO ESTAMPADO, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h59/h4e/11410258591774/16746005-0_product_300Wx450H,"$35,99"
"SHORT CUERINA C HEBILLA, H&O, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hf2/h13/11408134176798/16746008-0_product_300Wx450H,"$29,99"
"SHORT RECTO CON PINZAS, ISABELLA, LILA, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/ha2/hea/11409886871582/16701950-0_product_300Wx450H,"$32,98"
"BLAZER CON 2 BOTONES FORRADOS, ISABELLA, LILA, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h43/h73/11409880973342/16701945-0_product_300Wx450H,"$49,99"
"VESTIDO TIRAS SATINADO, H&O, TURQUESA COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hea/h31/11410208194590/16718982-0_product_300Wx450H,"$29,99"
"CAMISETA SISA CON APLIQUES, H&O, CRUDO, 68% POLIESTER 32% ALGODÓN",https://images.deprati.com.ec/sys-master/images/h6b/he7/11403322425374/16695456-0_product_300Wx450H,"$19,99"
"BLUSA TIRAS UNICOLOR, H&O, MORADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hfd/h77/11404512100382/16742667-0_product_300Wx450H,"$23,99"
"BLUSA OFF SHOULDERS, H&O, LILA COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he0/h38/11401213870110/16745958-0_product_300Wx450H,"$29,99"
"BODY UNICOLOR, H&O, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h11/he6/11408089219102/16742707-0_product_300Wx450H,"$23,99"
"CAMISETA TIRAS UNICOLOR, H&O, TURQUESA, 92% POLIESTER 8% ELASTANO",https://images.deprati.com.ec/sys-master/images/hfa/he3/11403482300446/16719184-0_product_300Wx450H,"$19,99"
"CAMISETA SISA UNICOLOR, H&O, GRIS, 69%POLIESTER 28%ALGODÓN 3%ELASTANO",https://images.deprati.com.ec/sys-master/images/hff/h83/11407961489438/16719192-0_product_300Wx450H,"$23,99"
