alt,src,price,target
Camiseta básica manga corta estampada.,https://koaj.ec/134147-home_default/camiseta-basica-manga-corta-estampada.jpg,$12.90,hombre
Camiseta azul oscura cuello redondo con estampado de Félix el Gato,https://koaj.ec/134130-home_default/camiseta-manga-corta-estampado-de-play-station.jpg,$11.90,hombre
Camiseta básica manga corta estampada.,https://koaj.ec/134052-home_default/camiseta-basica-manga-corta-estampada.jpg,$12.90,hombre
Jean slim,https://koaj.ec/133982-home_default/jean-slim.jpg,$25.90,hombre
Jean Skinny,https://koaj.ec/133437-home_default/jean-skinny.jpg,$27.90,hombre
"Camiseta manga corta, estampado de Iron Maiden.",https://koaj.ec/133413-home_default/camiseta-manga-corta-estampado-de-iron-maiden.jpg,$11.90,hombre
Jean slim,https://koaj.ec/133328-home_default/jean-slim.jpg,$27.90,hombre
Camiseta básica manga corta estampada.,https://koaj.ec/133034-home_default/camiseta-basica-manga-corta-estampada.jpg,$12.90,hombre
Camiseta básica manga corta estampada.,https://koaj.ec/133017-home_default/camiseta-basica-manga-corta-estampada.jpg,$11.90,hombre
Camisa unicolor,https://koaj.ec/132550-home_default/camisa-unicolor.jpg,$24.90,hombre
Camisa unicolor,https://koaj.ec/132544-home_default/camisa-unicolor.jpg,$24.90,hombre
Camisa a rayas,https://koaj.ec/132533-home_default/camisa-a-rayas.jpg,$24.90,hombre
Camisa a rayas,https://koaj.ec/132528-home_default/camisa-a-rayas.jpg,$24.90,hombre
Camisa unicolor,https://koaj.ec/132519-home_default/camisa-unicolor.jpg,$24.90,hombre
Camisa a rayas,https://koaj.ec/132502-home_default/camisa-a-rayas.jpg,$24.90,hombre
Camiseta básica manga corta estampada.,https://koaj.ec/132275-home_default/camiseta-basica-manga-corta-estampada.jpg,$11.90,hombre
Buzo cuello redondo unicolor,https://koaj.ec/135287-home_default/buzo-cuello-redondo-unicolor.jpg,$21.90,hombre
Bermuda china drill importada,https://koaj.ec/132075-home_default/bermuda-china-drill-importada.jpg,$25.90,hombre
Camisa Rayas,https://koaj.ec/131500-home_default/camisa-rayas.jpg,$28.90,hombre
Jean slim,https://koaj.ec/130949-home_default/jean-slim.jpg,$27.90,hombre
"Camiseta estampada masculina, cuello redondo y manga corta.",https://koaj.ec/130919-home_default/camiseta-estampada-masculina-cuello-redondo-y-manga-corta.jpg,$11.90,hombre
"Camiseta estampada masculina, cuello redondo y manga larga.",https://koaj.ec/130676-home_default/camiseta-estampada-masculina-cuello-redondo-y-manga-larga.jpg,$11.90,hombre
Bermuda denim slim,https://koaj.ec/130660-home_default/bermuda-denim-slim.jpg,$28.90,hombre
